"","ID","EPG","StudySite","Species","coords.x1","coords.x2","Aardvark_2016","Aardvark_2017","Aardvark_2018","Aardvark_all_years","Baboon_2016","Baboon_2017","Baboon_2018","Baboon_all_years","Buffalo_2016","Buffalo_2017","Buffalo_2018","Buffalo_all_years","Bushbaby_2016","Bushbaby_2017","Bushbaby_2018","Bushbaby_all_years","Bushbuck_2016","Bushbuck_2017","Bushbuck_2018","Bushbuck_all_years","Bushpig_2016","Bushpig_2017","Bushpig_2018","Bushpig_all_years","Civet_2016","Civet_2017","Civet_2018","Civet_all_years","Duiker_common_2016","Duiker_common_2017","Duiker_common_all_years","Duiker_red_2016","Duiker_red_2017","Duiker_red_2018","Duiker_red_all_years","Elephant_2016","Elephant_2017","Elephant_2018","Elephant_all_years","FloodSpecies_2016","FloodSpecies_2017","FloodSpecies_2018","FloodSpecies_all_years","Genet_2016","Genet_2017","Genet_2018","Genet_all_years","Hare_2016","Hare_2017","Hare_2018","Hare_all_years","Hartebeest_2016","Hartebeest_2017","Hartebeest_all_years","Honey_badger_2016","Honey_badger_2017","Honey_badger_2018","Honey_badger_all_years","Impala_2016","Impala_2017","Impala_2018","Impala_all_years","Kudu_2016","Kudu_2017","Kudu_2018","Kudu_all_years","Lion_2016","Lion_2017","Lion_all_years","MajorSpecies_2016","MajorSpecies_2017","MajorSpecies_2018","MajorSpecies_all_years","Mongoose_banded_2016","Mongoose_banded_2017","Mongoose_banded_all_years","Mongoose_bushy_tailed_2016","Mongoose_bushy_tailed_2017","Mongoose_bushy_tailed_2018","Mongoose_bushy_tailed_all_years","Mongoose_dwarf_2016","Mongoose_dwarf_2017","Mongoose_dwarf_all_years","Mongoose_large_grey_2016","Mongoose_large_grey_2017","Mongoose_large_grey_all_years","Mongoose_marsh_2016","Mongoose_marsh_2017","Mongoose_marsh_2018","Mongoose_marsh_all_years","Mongoose_slender_2016","Mongoose_slender_2017","Mongoose_slender_all_years","Mongoose_white_tailed_2016","Mongoose_white_tailed_2017","Mongoose_white_tailed_2018","Mongoose_white_tailed_all_years","Nyala_2016","Nyala_2017","Nyala_2018","Nyala_all_years","Oribi_2016","Oribi_2017","Oribi_2018","Oribi_all_years","Pangolin_2016","Pangolin_2017","Pangolin_all_years","Porcupine_2016","Porcupine_2017","Porcupine_2018","Porcupine_all_years","Reedbuck_2016","Reedbuck_2017","Reedbuck_2018","Reedbuck_all_years","Sable_antelope_2016","Sable_antelope_2017","Sable_antelope_2018","Sable_antelope_all_years","Samango_2017","Samango_all_years","Serval_2016","Serval_2017","Serval_2018","Serval_all_years","Vervet_2016","Vervet_2017","Vervet_2018","Vervet_all_years","Warthog_2016","Warthog_2017","Warthog_2018","Warthog_all_years","Waterbuck_2016","Waterbuck_2017","Waterbuck_2018","Waterbuck_all_years","Wildebeest_2016","Wildebeest_2017","Wildebeest_2018","Wildebeest_all_years"
"1","17_PHAF03",295.560222338892,"D05","PHAF",645022.783107978,7906619.09053039,0,0,NA,0,0.615384615384615,0.18,NA,0.328947368421053,0,0,NA,0,0,0,NA,0,0.5,0.06,NA,0.210526315789474,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0.1,NA,0.0657894736842105,1.34615384615385,0.28,NA,0.644736842105263,0,0,NA,0,0,0.02,NA,0.0131578947368421,0,0,0,0,0,NA,0,0.923076923076923,0.12,NA,0.394736842105263,0.153846153846154,0.04,NA,0.0789473684210526,0,0.02,0.0131578947368421,2.92307692307692,0.44,NA,1.28947368421053,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1.07692307692308,0.1,NA,0.434210526315789,0.115384615384615,0,NA,0.0394736842105263,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.192307692307692,0.1,NA,0.131578947368421,0.115384615384615,0.06,NA,0.0789473684210526,0,0,NA,0
"2","17_OUOU03",864.17434846933,"E06","OUOU",646530.053920892,7905423.00128169,0.027027027027027,0,NA,0.0102040816326531,0.027027027027027,0.262295081967213,NA,0.173469387755102,0,0,NA,0,0,0,NA,0,0.567567567567568,0.344262295081967,NA,0.428571428571429,0,0.0327868852459016,NA,0.0204081632653061,0,0.0327868852459016,NA,0.0204081632653061,0,0,0,0,0,NA,0,0.027027027027027,0.0491803278688525,NA,0.0408163265306122,1.24324324324324,1.14754098360656,NA,1.18367346938776,0.243243243243243,0.0983606557377049,NA,0.153061224489796,0.027027027027027,0,NA,0.0102040816326531,0,0,0,0,0,NA,0,0.459459459459459,0.262295081967213,NA,0.336734693877551,0.162162162162162,0.131147540983607,NA,0.142857142857143,0,0,0,2.08108108108108,1.67213114754098,NA,1.8265306122449,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0327868852459016,NA,0.0204081632653061,0.27027027027027,0.245901639344262,NA,0.255102040816327,0,0.180327868852459,NA,0.112244897959184,0,0,0,0.027027027027027,0.0163934426229508,NA,0.0204081632653061,0,0.0655737704918033,NA,0.0408163265306122,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.459459459459459,0.459016393442623,NA,0.459183673469388,0.324324324324324,0.180327868852459,NA,0.23469387755102,0,0,NA,0
"3","17_AEME11",295.647655217783,"H03","AEME",653818.133760393,7907693.99051015,0,0,0,0,0.884615384615385,0.590163934426229,0.9,0.701030927835051,0.0384615384615385,0.0327868852459016,0,0.0309278350515464,0,0,0,0,0.230769230769231,0.114754098360656,0.2,0.154639175257732,0.0384615384615385,0,0,0.0103092783505155,0.269230769230769,0.114754098360656,0.4,0.185567010309278,0,0,0,0,0,0,0,0.0384615384615385,0.0983606557377049,0,0.0721649484536082,1.76923076923077,4.34426229508197,3.2,3.5360824742268,0,0.0491803278688525,0.2,0.0515463917525773,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0206185567010309,0.576923076923077,0.590163934426229,1.1,0.639175257731959,0,0.0491803278688525,0,0.0309278350515464,0.0384615384615385,0,0.0114942528735632,2.03846153846154,4.45901639344262,3.4,3.70103092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0.0103092783505155,0.0769230769230769,0.180327868852459,0.1,0.144329896907216,0,0,0,0,0,0.1,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0.0103092783505155,0.730769230769231,1.37704918032787,1.3,1.19587628865979,0.384615384615385,2.19672131147541,0.7,1.55670103092784,0,0,0,0
"4","17_AEME12",267.001789731212,"H03","AEME",653807.683192993,7907704.0383633,0,0,0,0,0.884615384615385,0.590163934426229,0.9,0.701030927835051,0.0384615384615385,0.0327868852459016,0,0.0309278350515464,0,0,0,0,0.230769230769231,0.114754098360656,0.2,0.154639175257732,0.0384615384615385,0,0,0.0103092783505155,0.269230769230769,0.114754098360656,0.4,0.185567010309278,0,0,0,0,0,0,0,0.0384615384615385,0.0983606557377049,0,0.0721649484536082,1.76923076923077,4.34426229508197,3.2,3.5360824742268,0,0.0491803278688525,0.2,0.0515463917525773,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0206185567010309,0.576923076923077,0.590163934426229,1.1,0.639175257731959,0,0.0491803278688525,0,0.0309278350515464,0.0384615384615385,0,0.0114942528735632,2.03846153846154,4.45901639344262,3.4,3.70103092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0.0103092783505155,0.0769230769230769,0.180327868852459,0.1,0.144329896907216,0,0,0,0,0,0.1,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0.0103092783505155,0.730769230769231,1.37704918032787,1.3,1.19587628865979,0.384615384615385,2.19672131147541,0.7,1.55670103092784,0,0,0,0
"5","17_KOEL06",71.4285714285714,"F01","KOEL",649470.159736547,7910613.7663469,0,0.0285714285714286,NA,0.0163934426229508,0.730769230769231,0.714285714285714,NA,0.721311475409836,0,0,NA,0,0,0,NA,0,0.153846153846154,0.428571428571429,NA,0.311475409836066,0.0769230769230769,0.114285714285714,NA,0.0983606557377049,0.230769230769231,0.142857142857143,NA,0.180327868852459,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0163934426229508,5.07692307692308,3.62857142857143,NA,4.24590163934426,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0.884615384615385,1.08571428571429,NA,1,0,0,NA,0,0,0.0571428571428571,0.0327868852459016,4.96153846153846,3.91428571428571,NA,4.36065573770492,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0285714285714286,NA,0.0163934426229508,0,0,NA,0,0.307692307692308,0,NA,0.131147540983607,0,0,0,0,0,NA,0,0.269230769230769,0.142857142857143,NA,0.19672131147541,0,0,NA,0,0.0285714285714286,0.0285714285714286,0,0,NA,0,0,0,NA,0,0.807692307692308,1.74285714285714,NA,1.34426229508197,2.80769230769231,0.657142857142857,NA,1.57377049180328,0,0,NA,0
"6","17_KOEL09",275.418075276087,"D07","KOEL",643799.265282892,7902177.09110372,0,0,NA,0,0.564102564102564,1.09836065573771,NA,0.89,0,0,NA,0,0,0,NA,0,1.12820512820513,0.819672131147541,NA,0.94,0.102564102564103,0.0163934426229508,NA,0.05,0.0256410256410256,0,NA,0.01,0.0512820512820513,0.0163934426229508,0.03,0.0256410256410256,0,NA,0.01,0.102564102564103,0,NA,0.04,1.33333333333333,1.9672131147541,NA,1.72,0.256410256410256,0,NA,0.1,0,0,NA,0,0,0,0,0,0,NA,0,0.41025641025641,0.672131147540984,NA,0.57,0.282051282051282,0.0327868852459016,NA,0.13,0,0,0,2.82051282051282,3.52459016393443,NA,3.25,0.0256410256410256,0,0.01,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0.384615384615385,0.754098360655738,NA,0.61,0.153846153846154,0.0655737704918033,NA,0.1,0,0,0,0,0.0819672131147541,NA,0.05,0.0256410256410256,0.0163934426229508,NA,0.02,0.0769230769230769,0,NA,0.03,0,0,0,0,NA,0,0.102564102564103,0,NA,0.04,0.538461538461538,0.639344262295082,NA,0.6,0.205128205128205,0.573770491803279,NA,0.43,0,0,NA,0
"7","17_PHAF04",1001.2501714628,"D05","PHAF",644820.909167849,7906393.77176851,0,0,NA,0,0.615384615384615,0.18,NA,0.328947368421053,0,0,NA,0,0,0,NA,0,0.5,0.06,NA,0.210526315789474,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0.1,NA,0.0657894736842105,1.34615384615385,0.28,NA,0.644736842105263,0,0,NA,0,0,0.02,NA,0.0131578947368421,0,0,0,0,0,NA,0,0.923076923076923,0.12,NA,0.394736842105263,0.153846153846154,0.04,NA,0.0789473684210526,0,0.02,0.0131578947368421,2.92307692307692,0.44,NA,1.28947368421053,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1.07692307692308,0.1,NA,0.434210526315789,0.115384615384615,0,NA,0.0394736842105263,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.192307692307692,0.1,NA,0.131578947368421,0.115384615384615,0.06,NA,0.0789473684210526,0,0,NA,0
"8","17_PHAF05",679.023569023569,"D05","PHAF",644823.006911484,7906392.64864029,0,0,NA,0,0.615384615384615,0.18,NA,0.328947368421053,0,0,NA,0,0,0,NA,0,0.5,0.06,NA,0.210526315789474,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0.1,NA,0.0657894736842105,1.34615384615385,0.28,NA,0.644736842105263,0,0,NA,0,0,0.02,NA,0.0131578947368421,0,0,0,0,0,NA,0,0.923076923076923,0.12,NA,0.394736842105263,0.153846153846154,0.04,NA,0.0789473684210526,0,0.02,0.0131578947368421,2.92307692307692,0.44,NA,1.28947368421053,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1.07692307692308,0.1,NA,0.434210526315789,0.115384615384615,0,NA,0.0394736842105263,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.192307692307692,0.1,NA,0.131578947368421,0.115384615384615,0.06,NA,0.0789473684210526,0,0,NA,0
"9","17_KOEL10",252.434999597521,"E06","KOEL",646425.442991942,7905245.63121666,0.027027027027027,0,NA,0.0102040816326531,0.027027027027027,0.262295081967213,NA,0.173469387755102,0,0,NA,0,0,0,NA,0,0.567567567567568,0.344262295081967,NA,0.428571428571429,0,0.0327868852459016,NA,0.0204081632653061,0,0.0327868852459016,NA,0.0204081632653061,0,0,0,0,0,NA,0,0.027027027027027,0.0491803278688525,NA,0.0408163265306122,1.24324324324324,1.14754098360656,NA,1.18367346938776,0.243243243243243,0.0983606557377049,NA,0.153061224489796,0.027027027027027,0,NA,0.0102040816326531,0,0,0,0,0,NA,0,0.459459459459459,0.262295081967213,NA,0.336734693877551,0.162162162162162,0.131147540983607,NA,0.142857142857143,0,0,0,2.08108108108108,1.67213114754098,NA,1.8265306122449,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0327868852459016,NA,0.0204081632653061,0.27027027027027,0.245901639344262,NA,0.255102040816327,0,0.180327868852459,NA,0.112244897959184,0,0,0,0.027027027027027,0.0163934426229508,NA,0.0204081632653061,0,0.0655737704918033,NA,0.0408163265306122,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.459459459459459,0.459016393442623,NA,0.459183673469388,0.324324324324324,0.180327868852459,NA,0.23469387755102,0,0,NA,0
"10","17_AEME15",300.487804878049,"F01","AEME",647277.964793504,7910231.66717503,0,0.0285714285714286,NA,0.0163934426229508,0.730769230769231,0.714285714285714,NA,0.721311475409836,0,0,NA,0,0,0,NA,0,0.153846153846154,0.428571428571429,NA,0.311475409836066,0.0769230769230769,0.114285714285714,NA,0.0983606557377049,0.230769230769231,0.142857142857143,NA,0.180327868852459,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0163934426229508,5.07692307692308,3.62857142857143,NA,4.24590163934426,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0.884615384615385,1.08571428571429,NA,1,0,0,NA,0,0,0.0571428571428571,0.0327868852459016,4.96153846153846,3.91428571428571,NA,4.36065573770492,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0285714285714286,NA,0.0163934426229508,0,0,NA,0,0.307692307692308,0,NA,0.131147540983607,0,0,0,0,0,NA,0,0.269230769230769,0.142857142857143,NA,0.19672131147541,0,0,NA,0,0.0285714285714286,0.0285714285714286,0,0,NA,0,0,0,NA,0,0.807692307692308,1.74285714285714,NA,1.34426229508197,2.80769230769231,0.657142857142857,NA,1.57377049180328,0,0,NA,0
