"StudySite","CommName","Operation","Count","RAI","Year"
"A06","Aardvark",25,0,0,"all_years"
"A06","Baboon",25,5,0.2,"all_years"
"A06","Buffalo",25,0,0,"all_years"
"A06","Bushbaby",25,1,0.04,"all_years"
"A06","Bushbuck",25,0,0,"all_years"
"A06","Bushpig",25,0,0,"all_years"
"A06","Civet",25,1,0.04,"all_years"
"A06","Duiker_common",25,0,0,"all_years"
"A06","Duiker_red",25,0,0,"all_years"
"A06","Elephant",25,0,0,"all_years"
"A06","FloodSpecies",25,12,0.48,"all_years"
"A06","Genet",25,3,0.12,"all_years"
"A06","Hare",25,0,0,"all_years"
"A06","Hartebeest",25,0,0,"all_years"
"A06","Honey_badger",25,0,0,"all_years"
"A06","Impala",25,2,0.08,"all_years"
"A06","Kudu",25,0,0,"all_years"
"A06","Lion",25,0,0,"all_years"
"A06","MajorSpecies",25,12,0.48,"all_years"
"A06","Mongoose_banded",25,0,0,"all_years"
"A06","Mongoose_bushy_tailed",25,0,0,"all_years"
"A06","Mongoose_dwarf",25,0,0,"all_years"
"A06","Mongoose_large_grey",25,0,0,"all_years"
"A06","Mongoose_marsh",25,0,0,"all_years"
"A06","Mongoose_slender",25,0,0,"all_years"
"A06","Mongoose_white_tailed",25,0,0,"all_years"
"A06","Nyala",25,0,0,"all_years"
"A06","Oribi",25,2,0.08,"all_years"
"A06","Pangolin",25,0,0,"all_years"
"A06","Porcupine",25,0,0,"all_years"
"A06","Reedbuck",25,0,0,"all_years"
"A06","Sable_antelope",25,0,0,"all_years"
"A06","Samango",0,0,NA,"all_years"
"A06","Serval",25,0,0,"all_years"
"A06","Vervet",25,0,0,"all_years"
"A06","Warthog",25,6,0.24,"all_years"
"A06","Waterbuck",25,2,0.08,"all_years"
"A06","Wildebeest",25,0,0,"all_years"
"A08","Aardvark",70,0,0,"all_years"
"A08","Baboon",70,96,1.37142857142857,"all_years"
"A08","Buffalo",70,0,0,"all_years"
"A08","Bushbaby",70,0,0,"all_years"
"A08","Bushbuck",70,5,0.0714285714285714,"all_years"
"A08","Bushpig",70,6,0.0857142857142857,"all_years"
"A08","Civet",70,0,0,"all_years"
"A08","Duiker_common",70,0,0,"all_years"
"A08","Duiker_red",70,0,0,"all_years"
"A08","Elephant",70,2,0.0285714285714286,"all_years"
"A08","FloodSpecies",70,23,0.328571428571429,"all_years"
"A08","Genet",70,11,0.157142857142857,"all_years"
"A08","Hare",70,0,0,"all_years"
"A08","Hartebeest",70,0,0,"all_years"
"A08","Honey_badger",70,2,0.0285714285714286,"all_years"
"A08","Impala",70,8,0.114285714285714,"all_years"
"A08","Kudu",70,0,0,"all_years"
"A08","Lion",70,0,0,"all_years"
"A08","MajorSpecies",70,27,0.385714285714286,"all_years"
"A08","Mongoose_banded",70,1,0.0142857142857143,"all_years"
"A08","Mongoose_bushy_tailed",70,0,0,"all_years"
"A08","Mongoose_dwarf",70,0,0,"all_years"
"A08","Mongoose_large_grey",70,0,0,"all_years"
"A08","Mongoose_marsh",70,0,0,"all_years"
"A08","Mongoose_slender",70,0,0,"all_years"
"A08","Mongoose_white_tailed",70,0,0,"all_years"
"A08","Nyala",70,1,0.0142857142857143,"all_years"
"A08","Oribi",70,2,0.0285714285714286,"all_years"
"A08","Pangolin",70,1,0.0142857142857143,"all_years"
"A08","Porcupine",70,3,0.0428571428571429,"all_years"
"A08","Reedbuck",70,2,0.0285714285714286,"all_years"
"A08","Sable_antelope",70,0,0,"all_years"
"A08","Samango",45,0,0,"all_years"
"A08","Serval",70,0,0,"all_years"
"A08","Vervet",70,0,0,"all_years"
"A08","Warthog",70,3,0.0428571428571429,"all_years"
"A08","Waterbuck",70,8,0.114285714285714,"all_years"
"A08","Wildebeest",70,2,0.0285714285714286,"all_years"
"A10","Aardvark",69,0,0,"all_years"
"A10","Baboon",69,47,0.681159420289855,"all_years"
"A10","Buffalo",69,0,0,"all_years"
"A10","Bushbaby",69,0,0,"all_years"
"A10","Bushbuck",69,18,0.260869565217391,"all_years"
"A10","Bushpig",69,4,0.0579710144927536,"all_years"
"A10","Civet",69,5,0.072463768115942,"all_years"
"A10","Duiker_common",69,0,0,"all_years"
"A10","Duiker_red",69,0,0,"all_years"
"A10","Elephant",69,9,0.130434782608696,"all_years"
"A10","FloodSpecies",69,35,0.507246376811594,"all_years"
"A10","Genet",69,3,0.0434782608695652,"all_years"
"A10","Hare",69,0,0,"all_years"
"A10","Hartebeest",69,0,0,"all_years"
"A10","Honey_badger",69,0,0,"all_years"
"A10","Impala",69,0,0,"all_years"
"A10","Kudu",69,1,0.0144927536231884,"all_years"
"A10","Lion",69,0,0,"all_years"
"A10","MajorSpecies",69,73,1.05797101449275,"all_years"
"A10","Mongoose_banded",69,2,0.0289855072463768,"all_years"
"A10","Mongoose_bushy_tailed",69,0,0,"all_years"
"A10","Mongoose_dwarf",69,0,0,"all_years"
