Date_Processed,SampleID,Trial,#eggs_chamber_1,#eggs_chamber2,total ,fecal_weight,notes,
06/18/18,AEME29,1,2,1,3,2.01,,
06/18/18,AEME29,2,0,4,4,1.98,,
06/18/18,AEME28,1,1,0,1,2.01,,
06/18/18,AEME28,2,2,3,5,2.03,,
06/18/18,PHAF23,1,20,23,43,2.03,,
06/18/18,PHAF23,2,33,26,59,2,,
06/18/18,AEME26,1,0,0,0,2.03,,
06/18/18,AEME26,2,2,2,4,2.04,,
06/18/18,OUOU18,1,14,7,21,2.01,,
06/18/18,OUOU18,2,4,18,22,1.62,23uL,
06/18/18,TRST16,1,0,0,0,2.03,,
06/18/18,TRST16,2,1,0,1,2.03,,
06/18/18,TRSC11,1,0,0,0,1.58,"Collar #32011, 21uL",
06/18/18,TRAN16,1,1,0,1,2.04,,
06/18/18,TRAN16,2,0,0,0,1.96,,
06/18/18,TRSC07,1,0,1,1,2.01,Collar #32007,
06/18/18,TRSC07,2,0,0,0,2.01,,
06/18/18,OUOU19,1,6,2,8,2.02,,
06/18/18,OUOU19,2,2,4,6,1.98,,
06/18/18,AEME27,1,0,1,1,2.01,,
06/18/18,AEME27,2,0,0,0,1.94,,
06/18/18,KOEL24,1,0,1,1,1.98,,
06/18/18,KOEL24,2,0,0,0,2,,
06/18/18,TRSC12,1,0,0,0,2.01,"Collar #31472, had the weird orange thing, have photo",
06/18/18,TRSC12,2,0,0,0,2,,
06/18/18,KOEL23,1,7,8,15,2.04,,
06/18/18,KOEL23,2,7,4,11,2.03,,
06/18/18,PHAF21,1,2,0,2,1.99,,
06/18/18,PHAF21,2,1,0,1,2.02,,
06/18/18,PHAF22,1,1,1,2,1.99,,
06/18/18,PHAF22,2,2,0,2,2.01,,
06/18/18,PHAF24,1,9,8,17,1.93,,
06/18/18,PHAF24,2,10,8,18,1.98,,
06/18/18,REAR21,1,2,0,2,2.04,,
06/18/18,REAR21,2,0,2,2,2.02,,
06/18/18,KOEL22,1,0,0,0,2.03,,
06/18/18,KOEL22,2,1,0,1,1.98,,
06/19/18,KOEL21,1,1,1,2,1.99,,
06/19/18,KOEL21,2,6,5,11,2.01,,
06/19/18,AEME22,1,5,5,10,2.02,,
06/19/18,AEME22,2,3,8,11,2,,
06/19/18,TRSC08,1,0,0,0,1.99,"Collar #31483, bushbuck #1",
06/19/18,TRSC08,2,0,0,0,2,,
06/19/18,AEME23,1,1,2,3,0.73,10uL,
06/19/18,TRSC09,1,0,0,0,2,"Collar #32009, bushbuck #2",
06/19/18,TRSC09,2,0,0,0,2.01,,
06/19/18,KOEL25,1,0,1,1,2.01,,
06/19/18,KOEL25,2,3,0,3,2,,
06/19/18,AEME24,1,1,1,2,1.98,,
06/19/18,AEME24,2,1,1,2,1.44,20mL,
06/19/18,AEME25,1,1,1,2,2.01,,
06/19/18,AEME25,2,0,5,5,1.01,14mL,
06/19/18,REAR22,1,5,12,17,2.03,,
06/19/18,REAR22,2,7,9,16,2.01,,
06/19/18,TRSC05,1,0,0,0,2.01,,
06/19/18,TRSC05,2,0,0,0,1.98,,
06/19/18,TRSC07,1,0,0,0,2.01,,
06/19/18,TRSC06,1,14,13,27,2.03,,
06/19/18,TRSC06,2,10,8,18,1.98,,
06/19/18,TRAN17,1,0,0,0,2.03,,
06/19/18,TRAN18,1,0,0,0,2.04,,
06/19/18,TRAN18,2,0,0,0,2.01,,
06/19/18,TRSC15,1,0,0,0,1.99,"Collar #32013, bushbuck #8",
06/19/18,TRSC15,2,0,1,1,2.01,,
06/19/18,TRSC14,1,0,0,0,2.03,"Collar #31471, bushbuck #7",
06/19/18,TRSC14,2,0,0,0,2.06,,
06/19/18,TRSC13,1,0,0,0,2,"Collar #32008, bushbuck #6",
06/19/18,TRSC13,2,0,0,0,1.48,21mL,
06/19/18,TRAN19,1,1,0,1,2.06,"Collar #31763, nyala #1",
06/19/18,TRAN19,2,0,0,0,2,,
06/19/18,PHAF26,1,9,8,17,2.06,,
06/19/18,PHAF26,2,8,10,18,1.98,,
06/19/18,PHAF25,1,6,3,9,2.01,,
06/19/18,PHAF25,2,5,14,19,2.05,,
06/19/18,REAR23,1,8,14,22,2.05,,
06/19/18,REAR23,2,7,6,13,2.05,,
06/19/18,REAR24,1,1,1,2,2.02,,
06/19/18,REAR24,2,0,0,0,2.05,,
06/20/18,TRST18,1,0,0,0,1.97,"Collar #31464, kudu #1",
06/20/18,TRST18,2,0,0,0,2.01,,
06/20/18,TRST19,1,1,2,3,1.96,"Collar #31755, kudu #2",
06/20/18,TRST19,2,0,0,0,2,,
06/20/18,TRST22,1,0,0,0,2.05,"Collar #31463, kudu #5",
06/20/18,TRST22,2,0,0,0,1.96,,
06/20/18,TRST20,1,1,0,1,2.03,"Collar #31758, kudu #4",
06/20/18,TRST20,2,1,0,1,1.99,,
06/20/18,TRST19,1,0,0,0,2.05,"Collar #31753, kudu #3",
06/20/18,TRST19,2,0,1,1,1.97,,
06/20/18,TRST17,1,0,1,1,1.98,,
06/20/18,TRST17,2,1,0,1,2,,
06/20/18,PHAF27,1,5,6,11,2.04,,
06/20/18,PHAF27,2,4,0,4,2,,
06/20/18,KOEL27,1,7,3,10,1.96,,
06/20/18,KOEL27,2,7,4,11,2.04,,
06/20/18,KOEL26,1,3,3,6,2.05,,
06/20/18,KOEL26,2,2,2,4,2.01,,
06/20/18,LYPI10,1,0,0,0,1.98,,
06/20/18,LYPI10,2,0,0,0,2.01,,
06/24/18,TRST27,1,2,0,2,2.03,Collar #31462,
06/24/18,TRST27,2,1,1,2,1.99,,
06/24/18,AEME36,1,5,3,8,2.04,,
06/24/18,AEME36,2,3,1,4,2.01,,
06/24/18,OUOU23,1,8,6,14,2.01,,
06/24/18,REAR26,1,6,3,9,1.95,,
06/24/18,REAR26,2,6,3,9,2,,
06/24/18,TRST29,1,0,0,0,2,Collar #31469,
06/24/18,TRST29,2,0,0,0,2.04,,
06/24/18,TRST26,1,0,0,0,2.06,Collar #31467,
06/24/18,TRST26,2,4,3,7,2,,
06/24/18,TRST30,1,0,0,0,2.01,Collar #31461,
06/24/18,TRST30,2,0,0,0,2.01,,
06/24/18,TRST28,1,0,2,2,2.01,Collar #31468,
06/24/18,TRST28,2,0,0,0,2.06,,
06/24/18,KOEL30,1,5,2,7,2.03,,
06/24/18,KOEL30,2,0,0,0,2,,
06/24/18,KOEL29,1,1,2,3,2.02,,
06/24/18,KOEL29,2,5,3,8,2.05,,
06/24/18,AEME35,1,2,4,6,2.06,,
06/24/18,AEME35,2,1,2,3,2.01,,
06/24/18,TRST25,1,0,1,1,2.06,Collar #31754,
06/24/18,TRST25,2,0,0,0,2.06,,
06/24/18,LOAF21,1,3,0,3,2.02,Collar ST2010-2983,
06/24/18,LOAF21,2,5,3,8,2.03,,
06/24/18,PHAF29,1,4,4,8,2.03,,
06/24/18,PHAF29,2,4,4,8,2,,
06/24/18,PHAF28,1,4,10,14,2.01,,
06/24/18,PHAF28,2,8,6,14,2.03,,
06/24/18,OUOU21,1,2,2,4,2.03,,
06/24/18,OUOU21,2,4,6,10,2.01,,
06/24/18,AEME32,1,0,1,1,1.97,,
06/24/18,AEME32,2,0,0,0,2.03,,
06/24/18,EQQU15,1,0,0,0,2.02,,
06/24/18,EQQU15,2,0,0,0,1.99,,
06/24/18,OUOU20,1,5,12,17,0.82,11mL,
06/24/18,TRST24,1,0,0,0,2,Collar #31465,
06/24/18,TRST24,2,0,0,0,2.02,,
06/24/18,AEME31,1,2,4,6,2,,
06/24/18,AEME31,2,4,3,7,2,,
06/24/18,EQQU12,1,0,0,0,2.02,,
06/24/18,EQQU12,2,0,0,0,1.98,,
06/24/18,OUOU22,1,3,2,5,2.02,,
