Date+AF8-Processed,SampleID,Trial,+ACM-eggs+AF8-chamber+AF8-1,+ACM-eggs+AF8-chamber2,total ,fecal+AF8-weight,notes,
06/21/19,AEME17,1,1,5,6,2.03,,
06/21/19,AEME17,2,4,3,7,1.95,,
06/21/19,KOEL19,1,13,19,32,2.02,,
06/21/19,KOEL19,2,14,20,34,2.03,,
06/21/19,TRSC12,1,0,0,0,2.04,,
06/21/19,TRSC12,2,0,0,0,1.43,21mL,
06/21/19,TRAN16,1,0,1,1,2.03,,
06/21/19,TRAN16,2,0,0,0,1.99,,
06/21/19,TRST25,1,0,0,0,1.98,,
06/21/19,TRST25,2,0,0,0,1.98,,
06/21/19,TRSC11,1,0,0,0,1.95,,
06/21/19,TRST26,1,0,1,1,1.96,,
06/21/19,TRST26,2,0,0,0,2.05,,
06/21/19,KOEL17,1,3,7,10,2.03,,
06/21/19,KOEL17,2,6,3,9,2.02,,
06/21/19,TRST27,1,0,0,0,1.95,,
06/21/19,TRST27,2,0,0,0,2,,
06/21/19,OUOU18,1,11,17,28,1.95,,
06/21/19,OUOU18,2,37,16,53,2.01,,
06/21/19,KOEL18,1,17,31,48,2.01,,
06/21/19,KOEL18,2,22,32,54,2.02,,
06/21/19,KOEL16,1,21,9,30,2.01,,
06/21/19,KOEL16,2,7,6,13,1.97,,
06/21/19,PHAF16,1,0,0,0,1.98,,
06/21/19,PHAF16,2,0,1,1,1.95,,
06/21/19,OUOU21,1,5,4,9,1.04,14mL,
06/21/19,REAR16,1,0,0,0,1.95,,
06/21/19,OUOU20,1,7,4,11,1.98,,
06/21/19,OUOU20,2,12,16,28,1.8,22mL,
06/21/19,TRST23,1,0,0,0,1.99,,
06/21/19,TRST23,2,0,0,0,1.99,,
06/21/19,TRST29,1,0,0,0,2.03,,
06/21/19,TRST29,2,0,0,0,1.95,,
06/21/19,TRST19,1,0,0,0,2.05,,
06/21/19,TRST19,2,0,0,0,2.04,,
06/21/19,TRST24,1,0,0,0,2.02,,
06/21/19,TRST24,2,0,0,0,2.05,,
06/21/19,TRST22,1,0,0,0,2.01,,
06/21/19,TRST22,2,0,0,0,2.03,,
06/21/19,OUOU19,1,34,20,54,1.96,,
06/21/19,OUOU19,2,16,28,44,1.98,,
06/21/19,AEME16,1,3,0,3,2,,
06/21/19,AEME16,2,2,2,4,2.01,,
06/21/19,TRST20,1,0,0,0,2.01,,
06/21/19,TRST20,2,0,1,1,1.95,,
06/21/19,OUOU16,1,11,11,22,1.98,,
06/21/19,OUOU16,2,4,7,11,2,,
06/21/19,TRST28,1,0,0,0,2,,
06/21/19,TRST28,2,0,0,0,2.01,,
06/21/19,TRST16,1,0,0,0,1.99,,
06/21/19,TRST16,2,0,0,0,2.04,,
06/21/19,TRST21,1,0,0,0,1.95,,
06/21/19,TRST21,2,0,0,0,1.99,,
06/21/19,TRST17,1,0,0,0,2,,
06/21/19,TRST17,2,0,0,0,1.98,,
06/21/19,TRST18,1,0,0,0,2.02,,
06/21/19,TRST18,2,0,0,0,1.99,,
06/24/19,TRSC14,1,0,0,0,2.04,,
06/24/19,TRSC14,2,0,0,0,1.95,,
06/24/19,TRAN19,1,1,0,1,2.01,,
06/24/19,TRAN19,2,1,0,1,1.97,,
06/24/19,TRAN20,1,0,1,1,2.06,,
06/24/19,TRAN20,2,0,0,0,2.03,,
06/24/19,TRSC15,1,0,0,0,2.02,,
06/24/19,KOEL26,1,1,3,4,2.05,,
06/24/19,KOEL26,2,1,0,1,1.96,,
06/24/19,PHAF20,1,1,2,3,1.99,,
06/24/19,PHAF20,2,4,1,5,1.97,,
06/24/19,REAR21,1,0,0,0,2.05,,
06/24/19,REAR21,2,1,1,2,2.1,,
06/24/19,REAR20,1,0,2,2,1.26,19mL,
06/24/19,REAR19,1,24,35,59,1.95,,
06/24/19,REAR19,2,18,26,44,2.1,,
